latin,n,hgt,type
Betula pendula,102,20.96970588235294,Betula pendula
Tilia cordata,59,18.982881355932204,Tilia cordata
Acer negundo,58,17.159827586206898,Acer negundo
Fraxinus excelsior,38,16.97578947368421,Fraxinus excelsior
Crataegus laevigata,37,9.920540540540541,Shrub
Acer platanoides,30,17.194,Acer platanoides
Pyrus communis,29,11.739310344827587,Shrub
Picea pungens,20,22.748,Conifer
Thuja occidentalis,16,12.430625,Shrub
Malus domestica,11,12.625454545454545,Shrub
Larix sibirica,8,19.34,Conifer
Quercus robur,8,26.57,Broadleaf tree
Populus nigra,6,25.75,Broadleaf tree
Aesculus hippocastanum,5,17.012,Broadleaf tree
Amelanchier ovalis,4,11.335,Shrub
Populus alba,4,25.845,Broadleaf tree
Sorbus aucuparia,4,12.825,Shrub
Populus tremula,3,20.67,Broadleaf tree
Juglans mandshurica,2,24.28,Broadleaf tree
Ulmus laevis,2,17.2,Broadleaf tree
Picea abies,1,15.31,Conifer
Pinus brutia,1,8.1,Conifer
Pinus sylvestris,1,16.6,Conifer
Populus balsamifera,1,18.5,Broadleaf tree
Prunus maackii,1,10.76,Shrub
Prunus padus,1,7.3,Shrub
Salix alba,1,19.37,Broadleaf tree
